"salary","comten","ceoten","sales","mktval"
1161000,9,2,6200,23200
600000,10,10,283,1100
379000,9,3,169,1100
651000,22,22,1100,1000
497000,8,6,351,387
1067000,7,7,19000,3900
945000,35,10,536,623
1261000,32,8,4800,2100
503000,4,4,610,454
1094000,39,5,2900,3900
601000,26,7,1200,533
355000,39,8,560,477
1200000,37,37,796,678
697000,25,1,8200,5700
1041000,21,11,4300,1400
245000,7,7,135,558
817000,38,4,1300,847
1675000,31,12,674,1200
971000,33,24,1400,609
609000,36,1,1100,880
470000,20,6,2300,2200
867000,36,14,884,1500
752000,32,4,1600,3200
246000,8,8,78,458
825000,4,4,10700,5900
358000,23,4,99,2300
1162000,24,6,3800,1800
270000,15,2,150,713
829000,14,8,2200,1500
300000,45,26,6900,4700
1627000,13,4,8300,9100
1237000,37,9,4600,6200
540000,37,1,5200,5600
1798000,21,14,24300,12500
474000,18,1,2700,2000
1336000,21,13,4500,4300
541000,30,4,1400,1200
129000,4,4,59,412
1700000,21,5,6800,20400
1750000,31,24,16200,17900
624000,21,13,1100,934
791000,14,8,2300,487
1487000,3,3,22200,2800
2021000,34,3,51300,42900
1550000,19,3,1100,4900
401000,44,8,571,670
1295000,8,8,10700,16400
449000,31,1,661,538
456000,9,3,381,6700
1142000,30,1,28000,26300
577000,26,2,3000,5700
600000,18,7,11700,4000
649000,4,4,336,475
822000,22,20,896,752
1080000,18,5,388,1600
1738000,34,12,10700,15400
581000,19,19,408,403
912000,9,9,2600,2400
650000,37,13,261,817
2199000,8,8,5600,6300
609000,15,15,567,498
1946000,25,21,7800,8000
552000,30,1,2800,3500
481000,26,4,611,667
526000,8,7,2400,2000
471000,3,2,160,425
630000,29,1,1700,420
622000,35,4,2500,1200
999000,28,17,159,398
585000,36,10,1700,449
1107000,17,6,2200,1100
1099000,34,10,8600,1800
425000,13,13,36,644
2792000,11,11,534,888
350000,31,4,1000,812
363000,36,6,717,880
2265000,35,6,18000,18800
377000,7,5,238,1200
879000,21,9,1700,4900
720000,12,12,672,1400
950000,27,14,2600,1500
1143000,23,3,1800,918
1064000,27,3,3500,2600
1253000,36,5,2600,3700
462000,23,0,1400,769
174000,13,13,29,390
474000,41,4,2200,2600
1248000,21,7,3500,7300
1101000,32,3,954,1200
348000,12,10,586,1400
650000,28,5,5700,817
875000,32,10,5300,2200
1600000,4,1,12300,9400
1500000,30,4,7900,4800
323000,15,3,637,517
459000,33,3,785,1400
925000,26,12,3300,2200
375000,4,4,599,501
447000,4,1,143,527
1340000,13,10,1400,2900
1749000,26,11,8100,10000
491000,21,2,561,521
5299000,42,13,2400,1500
431000,33,3,815,550
729000,15,3,2000,2600
1284000,32,3,12300,19600
1373000,36,8,14300,23600
989000,18,5,439,582
515000,27,1,1100,889
1301000,19,15,1800,1600
834000,35,1,4400,890
849000,24,24,538,473
100000,26,26,2700,10100
679000,40,6,4900,1400
567000,31,10,597,1700
559000,22,2,2100,686
704000,6,6,50,903
308000,14,14,210,1900
1392000,6,6,4800,1100
389000,29,4,478,420
790000,45,37,1200,3200
396000,58,28,513,963
398000,4,4,633,1800
707000,6,1,130,1200
984000,7,4,1500,1700
410000,36,20,501,590
1095000,33,5,27600,17100
694000,35,19,4200,1000
834000,32,0,7600,5300
1630000,8,8,227,822
493000,4,1,1300,834
625000,36,9,1400,979
483000,18,14,1000,548
733000,8,8,347,778
2102000,41,20,10300,45400
853000,34,34,818,411
345000,33,0,994,781
800000,12,9,1800,479
764000,31,16,1100,2100
806000,3,3,3000,3900
310000,18,1,2400,1300
1119000,34,9,2500,1200
1287000,4,3,4700,2700
1170000,9,3,1900,5600
880000,36,12,5300,4000
1091000,9,9,181,1300
1100000,18,6,563,544
650000,5,4,1482,557
607000,7,3,231,599
1133000,9,9,870,686
393000,36,6,285,956
605000,16,4,422,505
1444000,2,2,6204,10700
1033000,30,1,5400,7300
1142000,11,3,2600,2200
537000,20,20,1200,669
693000,17,12,1400,3000
439000,26,12,2600,3800
358000,43,11,584,423
1276000,41,17,635,1300
873000,2,2,149,567
537000,35,1,11400,4800
713000,12,2,1600,1300
1350000,5,5,3300,2100
1268000,20,4,1100,2500
465000,31,3,2400,2400
693000,7,3,2200,533
369000,4,1,65,1200
381000,30,2,2700,4500
467000,13,0,513,534
559000,34,16,605,653
218000,33,5,504,421
264000,42,3,334,480
185000,39,1,766,560
387000,32,13,432,477
2220000,18,18,277,540
445000,23,0,249,828
